14:46:59 topic: pageviews/Partition 0 | message lag: 0.0
14:46:59 topic: inventory/Partition 0 | message lag: 0.0
14:46:59 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:00 topic: pageviews/Partition 0 | message lag: 0.0
14:47:00 topic: inventory/Partition 0 | message lag: 0.0
14:47:00 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:01 topic: pageviews/Partition 0 | message lag: 0.0
14:47:01 topic: inventory/Partition 0 | message lag: 0.0
14:47:01 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:02 topic: pageviews/Partition 0 | message lag: 0.0
14:47:02 topic: inventory/Partition 0 | message lag: 0.0
14:47:02 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:03 topic: pageviews/Partition 0 | message lag: 0.0
14:47:03 topic: inventory/Partition 0 | message lag: 0.0
14:47:03 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:04 topic: pageviews/Partition 0 | message lag: 0.0
14:47:04 topic: inventory/Partition 0 | message lag: 0.0
14:47:04 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:05 topic: pageviews/Partition 0 | message lag: 0.0
14:47:05 topic: inventory/Partition 0 | message lag: 0.0
14:47:05 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:06 topic: pageviews/Partition 0 | message lag: 0.0
14:47:06 topic: inventory/Partition 0 | message lag: 0.0
14:47:06 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:07 topic: pageviews/Partition 0 | message lag: 0.0
14:47:07 topic: inventory/Partition 0 | message lag: 0.0
14:47:07 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:08 topic: pageviews/Partition 0 | message lag: 0.0
14:47:08 topic: inventory/Partition 0 | message lag: 0.0
14:47:08 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:09 topic: pageviews/Partition 0 | message lag: 0.0
14:47:09 topic: inventory/Partition 0 | message lag: 0.0
14:47:09 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:10 topic: pageviews/Partition 0 | message lag: 0.0
14:47:10 topic: inventory/Partition 0 | message lag: 0.0
14:47:10 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:11 topic: pageviews/Partition 0 | message lag: 0.0
14:47:11 topic: inventory/Partition 0 | message lag: 0.0
14:47:11 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:12 topic: pageviews/Partition 0 | message lag: 0.0
14:47:12 topic: inventory/Partition 0 | message lag: 0.0
14:47:12 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:13 topic: pageviews/Partition 0 | message lag: 0.0
14:47:13 topic: inventory/Partition 0 | message lag: 0.0
14:47:13 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:14 topic: pageviews/Partition 0 | message lag: 0.0
14:47:14 topic: inventory/Partition 0 | message lag: 0.0
14:47:14 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:15 topic: pageviews/Partition 0 | message lag: 0.0
14:47:15 topic: inventory/Partition 0 | message lag: 0.0
14:47:15 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:16 topic: pageviews/Partition 0 | message lag: 0.0
14:47:16 topic: inventory/Partition 0 | message lag: 0.0
14:47:16 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:17 topic: pageviews/Partition 0 | message lag: 0.0
14:47:17 topic: inventory/Partition 0 | message lag: 0.0
14:47:17 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:18 topic: pageviews/Partition 0 | message lag: 0.0
14:47:18 topic: inventory/Partition 0 | message lag: 0.0
14:47:18 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:19 topic: pageviews/Partition 0 | message lag: 0.0
14:47:19 topic: inventory/Partition 0 | message lag: 0.0
14:47:19 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:20 topic: pageviews/Partition 0 | message lag: 0.0
14:47:20 topic: inventory/Partition 0 | message lag: 0.0
14:47:20 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:21 topic: pageviews/Partition 0 | message lag: 0.0
14:47:21 topic: inventory/Partition 0 | message lag: 0.0
14:47:21 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:22 topic: pageviews/Partition 0 | message lag: 0.0
14:47:22 topic: inventory/Partition 0 | message lag: 0.0
14:47:22 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:23 topic: pageviews/Partition 0 | message lag: 0.0
14:47:23 topic: inventory/Partition 0 | message lag: 0.0
14:47:23 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:24 topic: pageviews/Partition 0 | message lag: 0.0
14:47:24 topic: inventory/Partition 0 | message lag: 0.0
14:47:24 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:25 topic: pageviews/Partition 0 | message lag: 0.0
14:47:25 topic: inventory/Partition 0 | message lag: 0.0
14:47:25 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:26 topic: pageviews/Partition 0 | message lag: 0.0
14:47:26 topic: inventory/Partition 0 | message lag: 0.0
14:47:26 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:27 topic: pageviews/Partition 0 | message lag: 0.0
14:47:27 topic: inventory/Partition 0 | message lag: 0.0
14:47:27 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:28 topic: pageviews/Partition 0 | message lag: 0.0
14:47:28 topic: inventory/Partition 0 | message lag: 0.0
14:47:28 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:29 topic: pageviews/Partition 0 | message lag: 0.0
14:47:29 topic: inventory/Partition 0 | message lag: 0.0
14:47:29 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:30 topic: pageviews/Partition 0 | message lag: 0.0
14:47:30 topic: inventory/Partition 0 | message lag: 0.0
14:47:30 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:31 topic: pageviews/Partition 0 | message lag: 0.0
14:47:31 topic: inventory/Partition 0 | message lag: 0.0
14:47:31 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:32 topic: pageviews/Partition 0 | message lag: 0.0
14:47:32 topic: inventory/Partition 0 | message lag: 0.0
14:47:32 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:33 topic: pageviews/Partition 0 | message lag: 0.0
14:47:33 topic: inventory/Partition 0 | message lag: 0.0
14:47:33 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:34 topic: pageviews/Partition 0 | message lag: 0.0
14:47:34 topic: inventory/Partition 0 | message lag: 0.0
14:47:34 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:35 topic: pageviews/Partition 0 | message lag: 0.0
14:47:35 topic: inventory/Partition 0 | message lag: 0.0
14:47:35 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:36 topic: pageviews/Partition 0 | message lag: 0.0
14:47:36 topic: inventory/Partition 0 | message lag: 0.0
14:47:36 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:37 topic: pageviews/Partition 0 | message lag: 0.0
14:47:37 topic: inventory/Partition 0 | message lag: 0.0
14:47:37 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:38 topic: pageviews/Partition 0 | message lag: 0.0
14:47:38 topic: inventory/Partition 0 | message lag: 0.0
14:47:38 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:39 topic: pageviews/Partition 0 | message lag: 0.0
14:47:39 topic: inventory/Partition 0 | message lag: 0.0
14:47:39 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:40 topic: pageviews/Partition 0 | message lag: 0.0
14:47:40 topic: inventory/Partition 0 | message lag: 0.0
14:47:40 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:41 topic: pageviews/Partition 0 | message lag: 0.0
14:47:41 topic: inventory/Partition 0 | message lag: 0.0
14:47:41 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:42 topic: pageviews/Partition 0 | message lag: 0.0
14:47:42 topic: inventory/Partition 0 | message lag: 0.0
14:47:42 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:43 topic: pageviews/Partition 0 | message lag: 0.0
14:47:43 topic: inventory/Partition 0 | message lag: 0.0
14:47:43 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:44 topic: pageviews/Partition 0 | message lag: 0.0
14:47:44 topic: inventory/Partition 0 | message lag: 0.0
14:47:44 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:45 topic: pageviews/Partition 0 | message lag: 0.0
14:47:45 topic: inventory/Partition 0 | message lag: 0.0
14:47:45 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:46 topic: pageviews/Partition 0 | message lag: 0.0
14:47:46 topic: inventory/Partition 0 | message lag: 0.0
14:47:46 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:47 topic: pageviews/Partition 0 | message lag: 0.0
14:47:47 topic: inventory/Partition 0 | message lag: 0.0
14:47:47 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:48 topic: pageviews/Partition 0 | message lag: 0.0
14:47:48 topic: inventory/Partition 0 | message lag: 0.0
14:47:48 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:49 topic: pageviews/Partition 0 | message lag: 0.0
14:47:49 topic: inventory/Partition 0 | message lag: 0.0
14:47:49 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:50 topic: pageviews/Partition 0 | message lag: 0.0
14:47:50 topic: inventory/Partition 0 | message lag: 0.0
14:47:50 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:51 topic: pageviews/Partition 0 | message lag: 0.0
14:47:51 topic: inventory/Partition 0 | message lag: 0.0
14:47:51 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:52 topic: pageviews/Partition 0 | message lag: 0.0
14:47:52 topic: inventory/Partition 0 | message lag: 0.0
14:47:52 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
